country,confirmed,death,Transmission classification,Days since last reported case
Dominica,15,0,Clusters of cases,2
Saint Lucia,14,0,Sporadic Cases,4
Grenada,12,0,Clusters of cases,5
Saint Kitts and Nevis,11,0,Sporadic Cases,1
Suriname,10,1,Sporadic Cases,6
Belize,9,1,Sporadic Cases,0
Saint Vincent and the Grenadines,8,0,Sporadic Cases,1
Nicaragua,6,1,Pending,3
Puerto Rico,683,33,Clusters of cases,0
Martinique,154,6,Clusters of cases,0
Guadeloupe,141,8,Clusters of cases,0
French Guiana,83,0,Clusters of cases,0
Aruba,82,0,Clusters of cases,0
United States Virgin Islands,46,1,Clusters of cases,0
Cayman Islands,45,1,Clusters of cases,1
Sint Maarten,43,8,Sporadic Cases,0
Bermuda,39,3,Clusters of cases,2
Saint Martin,32,2,Sporadic Cases,0
Curaçao,14,1,Sporadic Cases,1
Montserrat,8,0,Sporadic Cases,1
Turks and Caicos Islands,8,1,Sporadic Cases,2
Saint Barthelemy,6,0,,10
Falkland Islands (Malvinas),5,0,0,1
Anguilla,3,0,0,6
British Virgin Islands,3,0,0,9
"Bonaire, Sint Eustatius and Saba",2,0,0,6
Saint Pierre and Miquelon,1,0,0,2
South Africa,1934,89,0,0
Algeria,1666,94,30,0
Cameroon,730,0,0,1
Burkina Faso,414,30,0,0
Niger,410,68,0,0
Côte d’Ivoire,384,0,0,1
Mauritius,314,41,0,0
Ghana,313,0,0,1
Nigeria,288,12,1,0
Senegal,250,6,0,0
Democratic Republic of the Congo,215,8,0,0
Guinea,194,30,0,0
Kenya,184,5,1,0
Rwanda,113,3,0,0
Madagascar,95,2,0,0
Togo,73,3,0,0
Congo,60,0,0,1
Mali,59,3,1,0
Ethiopia,56,1,0,0
Uganda,53,0,0,1
Gabon,44,20,0,0
Zambia,39,0,0,7
Guinea-Bissau,35,2,0,0
Eritrea,33,0,0,1
Liberia,31,0,0,1
Benin,30,4,0,0
United Republic of Tanzania,25,0,0,1
Angola,19,0,0,1
Equatorial Guinea,18,2,0,0
Mozambique,17,0,0,1
Namibia,16,0,0,4
Botswana,13,7,0,0
Eswatini,12,0,0,1
Chad,11,1,0,0
Seychelles,11,0,0,3
Zimbabwe,11,0,0,2
Central African Republic,10,0,0,1
Malawi,8,0,0,2
Cabo Verde,7,0,0,3
Sierra Leone,7,0,0,1
Mauritania,6,0,0,6
Gambia,4,0,0,7
São Tomé and Príncipe,4,0,0,3
Burundi,3,0,0,6
South Sudan,3,2,0,0
Réunion,376,14,0,0
Mayotte,191,5,0,0
